Date,Product_ID,Product_Name,Category,Region,Units_Sold,Units_Ordered,Inventory_Level,Price,Discount,Competitor_Pricing,Holiday/Promotion,Weather_Condition,Seasonality
1/1/2022,914004,Batana,Vegetables/Herbs,South,54,54,85,381.15,0.20443,330.66,0,Rainy,Winter
1/1/2022,914004,Batana,Vegetables/Herbs,West,21,21,20,381.15,0.36284,331.81,0,Sunny,Winter
1/1/2022,914004,Batana,Vegetables/Herbs,East,49,49,63,381.15,0.31434,388.61,0,Sunny,Winter
1/1/2022,915002,Beetroot,Vegetables/Herbs,North,241,351,195,276.92,0.26457,318.33,0,Sunny,Winter
1/1/2022,915002,Beetroot,Vegetables/Herbs,South,249,249,388,276.92,0.22125,271.78,0,Sunny,Winter
1/1/2022,915002,Beetroot,Vegetables/Herbs,West,112,112,216,276.92,0.20266,263.87,0,Sunny,Winter
1/1/2022,915002,Beetroot,Vegetables/Herbs,East,232,242,248,276.92,0.30928,257.14,0,Rainy,Winter
1/1/2022,913005,Bell Pepper Green,Vegetables/Herbs,North,26,26,84,628.97,0.28813,615.72,0,Sunny,Winter
1/1/2022,913005,Bell Pepper Green,Vegetables/Herbs,South,78,105,254,628.97,0.36868,718.38,0,Sunny,Winter
1/1/2022,913005,Bell Pepper Green,Vegetables/Herbs,West,99,99,249,628.97,0.3827,686.0,0,Sunny,Winter
1/1/2022,913005,Bell Pepper Green,Vegetables/Herbs,East,50,50,114,628.97,0.37961,600.6,0,Cloudy,Winter
1/1/2022,913006,Bell Pepper Red,Vegetables/Herbs,North,22,28,140,774.62,0.24992,886.43,0,Sunny,Winter
1/1/2022,913006,Bell Pepper Red,Vegetables/Herbs,South,59,59,121,774.62,0.23642,841.18,0,Sunny,Winter
1/1/2022,913006,Bell Pepper Red,Vegetables/Herbs,West,85,85,210,774.62,0.32986,830.85,0,Sunny,Winter
1/1/2022,913006,Bell Pepper Red,Vegetables/Herbs,East,56,84,114,774.62,0.23155,820.45,0,Cloudy,Winter
1/1/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,North,60,84,87,902.94,0.22173,883.95,0,Cloudy,Winter
1/1/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,South,59,102,31,902.94,0.22095,947.33,0,Rainy,Winter
1/1/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,West,83,83,44,902.94,0.21121,896.2,0,Sunny,Winter
1/1/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,East,82,82,69,902.94,0.31401,769.0,0,Sunny,Winter
1/1/2022,941067,Thalapath Small,Seafood,North,9,17,39,2324.48,0.18333,2299.82,0,Sunny,Winter
1/1/2022,941067,Thalapath Small,Seafood,South,25,47,125,2324.48,0.2148,2148.22,0,Rainy,Winter
1/1/2022,941067,Thalapath Small,Seafood,West,41,41,124,2324.48,0.28504,2072.3,0,Rainy,Winter
1/1/2022,941067,Thalapath Small,Seafood,East,44,62,117,2324.48,0.24737,2512.62,0,Cloudy,Winter
1/2/2022,916002,Ambarella,Fruits,North,3,3,38,571.99,0.27206,533.03,0,Snowy,Winter
1/2/2022,916002,Ambarella,Fruits,South,30,57,146,571.99,0.15674,553.8,0,Sunny,Winter
1/2/2022,916002,Ambarella,Fruits,West,66,66,132,571.99,0.23171,616.82,0,Sunny,Winter
1/2/2022,916002,Ambarella,Fruits,East,61,121,68,571.99,0.31254,620.25,0,Snowy,Winter
1/2/2022,914000,Ash Plantains,Vegetables/Herbs,North,41,41,75,161.46,0.34172,145.37,0,Sunny,Winter
1/2/2022,914000,Ash Plantains,Vegetables/Herbs,South,15,15,14,161.46,0.29802,177.47,0,Sunny,Winter
1/2/2022,914000,Ash Plantains,Vegetables/Herbs,West,114,178,152,161.46,0.28319,169.28,0,Sunny,Winter
1/2/2022,914000,Ash Plantains,Vegetables/Herbs,East,15,15,29,161.46,0.25887,172.78,0,Sunny,Winter
1/2/2022,915001,Baby Potatoes,Vegetables/Herbs,North,45,45,45,719.55,0.37041,664.26,0,Rainy,Winter
1/2/2022,915001,Baby Potatoes,Vegetables/Herbs,South,37,37,86,719.55,0.3253,671.25,0,Snowy,Winter
1/2/2022,915001,Baby Potatoes,Vegetables/Herbs,West,18,29,67,719.55,0.34823,631.7,0,Sunny,Winter
1/2/2022,915001,Baby Potatoes,Vegetables/Herbs,East,65,92,99,719.55,0.23795,709.57,0,Cloudy,Winter
1/2/2022,912113,Basil Leaves 50g,Vegetables/Herbs,North,35,41,80,98.84,0.33115,112.97,0,Sunny,Winter
1/2/2022,912113,Basil Leaves 50g,Vegetables/Herbs,South,22,22,45,98.84,0.22303,112.01,0,Sunny,Winter
1/2/2022,912113,Basil Leaves 50g,Vegetables/Herbs,West,47,69,61,98.84,0.27294,101.12,0,Sunny,Winter
1/2/2022,912113,Basil Leaves 50g,Vegetables/Herbs,East,24,24,87,98.84,0.29903,102.35,0,Sunny,Winter
1/2/2022,914004,Batana,Vegetables/Herbs,North,54,54,64,386.29,0.21616,337.76,0,Snowy,Winter
1/2/2022,914004,Batana,Vegetables/Herbs,South,69,69,78,386.29,0.22203,361.11,0,Sunny,Winter
1/2/2022,914004,Batana,Vegetables/Herbs,West,53,102,39,386.29,0.28614,403.4,0,Sunny,Winter
1/2/2022,914004,Batana,Vegetables/Herbs,East,32,41,69,386.29,0.32217,409.44,0,Sunny,Winter
1/2/2022,915002,Beetroot,Vegetables/Herbs,North,174,274,261,287.44,0.29406,310.13,0,Snowy,Winter
1/2/2022,915002,Beetroot,Vegetables/Herbs,South,207,207,203,287.44,0.2675,279.54,0,Cloudy,Winter
1/2/2022,915002,Beetroot,Vegetables/Herbs,West,196,196,205,287.44,0.39255,279.18,0,Sunny,Winter
1/2/2022,915002,Beetroot,Vegetables/Herbs,East,169,297,255,287.44,0.2873,324.32,0,Sunny,Winter
1/2/2022,913005,Bell Pepper Green,Vegetables/Herbs,North,10,10,27,617.7,0.252,566.68,0,Sunny,Winter
1/2/2022,913005,Bell Pepper Green,Vegetables/Herbs,South,56,56,130,617.7,0.21093,627.2,0,Sunny,Winter
1/2/2022,913005,Bell Pepper Green,Vegetables/Herbs,West,149,149,235,617.7,0.35514,577.46,0,Sunny,Winter
1/2/2022,913005,Bell Pepper Green,Vegetables/Herbs,East,56,104,71,617.7,0.29295,568.33,0,Rainy,Winter
1/2/2022,913006,Bell Pepper Red,Vegetables/Herbs,North,71,129,147,772.56,0.39121,685.94,0,Sunny,Winter
1/2/2022,913006,Bell Pepper Red,Vegetables/Herbs,South,59,68,77,772.56,0.23464,817.22,0,Sunny,Winter
1/2/2022,913006,Bell Pepper Red,Vegetables/Herbs,West,122,214,90,772.56,0.30436,711.09,0,Sunny,Winter
1/2/2022,913006,Bell Pepper Red,Vegetables/Herbs,East,135,194,238,772.56,0.37586,667.34,0,Sunny,Winter
1/2/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,North,53,62,88,915.99,0.36771,948.89,0,Rainy,Winter
1/2/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,South,40,46,98,915.99,0.39691,860.8,0,Cloudy,Winter
1/2/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,West,74,74,99,915.99,0.15548,1006.68,0,Snowy,Winter
1/2/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,East,4,7,24,915.99,0.30177,875.41,0,Snowy,Winter
1/2/2022,941067,Thalapath Small,Seafood,North,22,22,56,2308.77,0.33309,2024.88,0,Sunny,Winter
1/2/2022,941067,Thalapath Small,Seafood,South,4,4,47,2308.77,0.33664,2197.06,0,Rainy,Winter
1/2/2022,941067,Thalapath Small,Seafood,West,34,34,41,2308.77,0.2637,2428.48,0,Sunny,Winter
1/2/2022,941067,Thalapath Small,Seafood,East,47,47,93,2308.77,0.37881,2115.78,0,Rainy,Winter
1/3/2022,916002,Ambarella,Fruits,North,38,38,95,573.76,0.38735,607.58,1,Rainy,Winter
1/3/2022,916002,Ambarella,Fruits,South,66,66,110,573.76,0.28612,656.01,1,Snowy,Winter
1/3/2022,916002,Ambarella,Fruits,West,78,124,40,573.76,0.3467,529.62,1,Snowy,Winter
1/3/2022,916002,Ambarella,Fruits,East,32,32,10,573.76,0.21932,657.07,1,Snowy,Winter
1/3/2022,914000,Ash Plantains,Vegetables/Herbs,North,98,98,61,164.68,0.18169,160.78,1,Snowy,Winter
1/3/2022,914000,Ash Plantains,Vegetables/Herbs,South,116,116,220,164.68,0.26451,187.6,1,Snowy,Winter
1/3/2022,914000,Ash Plantains,Vegetables/Herbs,West,58,58,80,164.68,0.30608,168.9,1,Sunny,Winter
1/3/2022,914000,Ash Plantains,Vegetables/Herbs,East,233,412,403,164.68,0.26289,151.27,1,Rainy,Winter
1/3/2022,915001,Baby Potatoes,Vegetables/Herbs,North,45,48,21,693.24,0.25797,744.11,1,Snowy,Winter
1/3/2022,915001,Baby Potatoes,Vegetables/Herbs,South,47,82,83,693.24,0.3001,662.39,1,Snowy,Winter
1/3/2022,915001,Baby Potatoes,Vegetables/Herbs,West,102,184,366,693.24,0.31874,705.04,1,Snowy,Winter
1/3/2022,915001,Baby Potatoes,Vegetables/Herbs,East,33,46,104,693.24,0.30829,595.63,1,Snowy,Winter
1/3/2022,912113,Basil Leaves 50g,Vegetables/Herbs,North,50,54,29,101.48,0.18935,105.07,1,Cloudy,Winter
1/3/2022,912113,Basil Leaves 50g,Vegetables/Herbs,South,33,44,46,101.48,0.31955,104.32,1,Sunny,Winter
1/3/2022,912113,Basil Leaves 50g,Vegetables/Herbs,West,58,74,11,101.48,0.27435,99.37,1,Snowy,Winter
1/3/2022,912113,Basil Leaves 50g,Vegetables/Herbs,East,42,42,65,101.48,0.15469,114.3,1,Cloudy,Winter
1/3/2022,914004,Batana,Vegetables/Herbs,North,98,106,110,388.26,0.25892,376.66,1,Snowy,Winter
1/3/2022,914004,Batana,Vegetables/Herbs,South,118,180,246,388.26,0.23777,441.63,1,Sunny,Winter
1/3/2022,914004,Batana,Vegetables/Herbs,West,46,74,154,388.26,0.33997,382.31,1,Snowy,Winter
1/3/2022,914004,Batana,Vegetables/Herbs,East,43,43,28,388.26,0.2276,382.66,1,Rainy,Winter
1/3/2022,915002,Beetroot,Vegetables/Herbs,North,288,500,698,272.56,0.37726,278.42,1,Snowy,Winter
1/3/2022,915002,Beetroot,Vegetables/Herbs,South,185,185,223,272.56,0.15979,289.54,1,Cloudy,Winter
1/3/2022,915002,Beetroot,Vegetables/Herbs,West,149,198,147,272.56,0.28949,263.28,1,Snowy,Winter
1/3/2022,915002,Beetroot,Vegetables/Herbs,East,255,255,567,272.56,0.3845,256.99,1,Snowy,Winter
1/3/2022,913005,Bell Pepper Green,Vegetables/Herbs,North,82,82,36,615.41,0.24065,556.38,1,Snowy,Winter
1/3/2022,913005,Bell Pepper Green,Vegetables/Herbs,South,115,211,84,615.41,0.31548,684.9,1,Cloudy,Winter
1/3/2022,913005,Bell Pepper Green,Vegetables/Herbs,West,45,46,70,615.41,0.3924,635.83,1,Cloudy,Winter
1/3/2022,913005,Bell Pepper Green,Vegetables/Herbs,East,60,119,206,615.41,0.22044,593.6,1,Snowy,Winter
1/3/2022,913006,Bell Pepper Red,Vegetables/Herbs,North,25,32,44,761.25,0.26233,764.3,1,Snowy,Winter
1/3/2022,913006,Bell Pepper Red,Vegetables/Herbs,South,80,80,115,761.25,0.34785,678.49,1,Snowy,Winter
1/3/2022,913006,Bell Pepper Red,Vegetables/Herbs,West,83,83,88,761.25,0.35874,772.4,1,Rainy,Winter
1/3/2022,913006,Bell Pepper Red,Vegetables/Herbs,East,27,27,12,761.25,0.30799,778.39,1,Snowy,Winter
1/3/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,North,73,112,164,911.8,0.15508,1013.92,1,Rainy,Winter
1/3/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,South,20,34,27,911.8,0.16108,924.39,1,Sunny,Winter
1/3/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,West,30,30,15,911.8,0.2289,859.85,1,Cloudy,Winter
1/3/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,East,82,82,126,911.8,0.25924,884.45,1,Snowy,Winter
1/3/2022,941067,Thalapath Small,Seafood,North,20,36,47,2281.72,0.2303,1994.27,1,Snowy,Winter
1/3/2022,941067,Thalapath Small,Seafood,South,37,70,121,2281.72,0.21864,2610.31,1,Rainy,Winter
1/3/2022,941067,Thalapath Small,Seafood,West,22,36,14,2281.72,0.18156,2101.0,1,Snowy,Winter
1/3/2022,941067,Thalapath Small,Seafood,East,23,23,46,2281.72,0.18442,2190.65,1,Rainy,Winter
1/4/2022,916002,Ambarella,Fruits,North,78,78,142,551.59,0.20364,570.1,0,Rainy,Winter
1/4/2022,916002,Ambarella,Fruits,South,27,27,50,551.59,0.31696,586.26,0,Rainy,Winter
1/4/2022,916002,Ambarella,Fruits,West,65,65,50,551.59,0.20918,550.6,0,Rainy,Winter
1/4/2022,916002,Ambarella,Fruits,East,78,78,211,551.59,0.32972,555.84,0,Rainy,Winter
1/4/2022,914000,Ash Plantains,Vegetables/Herbs,North,117,191,133,162.58,0.25815,182.61,0,Rainy,Winter
1/4/2022,914000,Ash Plantains,Vegetables/Herbs,South,155,155,250,162.58,0.36148,150.42,0,Rainy,Winter
1/4/2022,914000,Ash Plantains,Vegetables/Herbs,West,186,294,473,162.58,0.30612,182.19,0,Rainy,Winter
1/4/2022,914000,Ash Plantains,Vegetables/Herbs,East,25,35,17,162.58,0.27451,168.78,0,Rainy,Winter
1/4/2022,915001,Baby Potatoes,Vegetables/Herbs,North,37,42,133,691.17,0.26611,658.03,0,Rainy,Winter
1/4/2022,915001,Baby Potatoes,Vegetables/Herbs,South,44,44,44,691.17,0.2624,616.71,0,Cloudy,Winter
1/4/2022,915001,Baby Potatoes,Vegetables/Herbs,West,22,37,30,691.17,0.27457,694.22,0,Sunny,Winter
1/4/2022,915001,Baby Potatoes,Vegetables/Herbs,East,44,46,73,691.17,0.29938,762.26,0,Snowy,Winter
1/4/2022,912113,Basil Leaves 50g,Vegetables/Herbs,North,46,46,153,101.04,0.19866,102.65,0,Rainy,Winter
1/4/2022,912113,Basil Leaves 50g,Vegetables/Herbs,South,43,48,60,101.04,0.2433,115.8,0,Sunny,Winter
1/4/2022,912113,Basil Leaves 50g,Vegetables/Herbs,West,21,21,70,101.04,0.27983,90.4,0,Rainy,Winter
1/4/2022,912113,Basil Leaves 50g,Vegetables/Herbs,East,18,27,100,101.04,0.29073,100.28,0,Cloudy,Winter
1/4/2022,914004,Batana,Vegetables/Herbs,North,84,149,150,368.98,0.33035,378.23,0,Rainy,Winter
1/4/2022,914004,Batana,Vegetables/Herbs,South,82,82,144,368.98,0.22842,330.4,0,Cloudy,Winter
1/4/2022,914004,Batana,Vegetables/Herbs,West,61,104,64,368.98,0.29022,424.12,0,Cloudy,Winter
1/4/2022,914004,Batana,Vegetables/Herbs,East,46,77,133,368.98,0.19807,340.92,0,Snowy,Winter
1/4/2022,915002,Beetroot,Vegetables/Herbs,North,190,190,280,280.98,0.22195,287.17,0,Cloudy,Winter
1/4/2022,915002,Beetroot,Vegetables/Herbs,South,134,180,215,280.98,0.33683,256.87,0,Snowy,Winter
1/4/2022,915002,Beetroot,Vegetables/Herbs,West,72,110,81,280.98,0.16312,273.67,0,Rainy,Winter
1/4/2022,915002,Beetroot,Vegetables/Herbs,East,268,395,422,280.98,0.33898,263.05,0,Rainy,Winter
1/4/2022,913005,Bell Pepper Green,Vegetables/Herbs,North,75,75,131,612.02,0.37056,552.49,0,Rainy,Winter
1/4/2022,913005,Bell Pepper Green,Vegetables/Herbs,South,128,128,132,612.02,0.38211,581.73,0,Sunny,Winter
1/4/2022,913005,Bell Pepper Green,Vegetables/Herbs,West,44,75,104,612.02,0.23428,574.39,0,Snowy,Winter
1/4/2022,913005,Bell Pepper Green,Vegetables/Herbs,East,101,101,222,612.02,0.17385,700.46,0,Rainy,Winter
1/4/2022,913006,Bell Pepper Red,Vegetables/Herbs,North,36,36,12,758.97,0.21539,726.99,0,Rainy,Winter
1/4/2022,913006,Bell Pepper Red,Vegetables/Herbs,South,121,228,131,758.97,0.30968,859.3,0,Rainy,Winter
1/4/2022,913006,Bell Pepper Red,Vegetables/Herbs,West,79,111,262,758.97,0.26771,767.51,0,Rainy,Winter
1/4/2022,913006,Bell Pepper Red,Vegetables/Herbs,East,66,89,44,758.97,0.16544,769.82,0,Rainy,Winter
1/4/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,North,85,92,149,900.3,0.35217,887.72,0,Rainy,Winter
1/4/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,South,40,40,37,900.3,0.29458,777.49,0,Snowy,Winter
1/4/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,West,36,36,62,900.3,0.195,801.83,0,Rainy,Winter
1/4/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,East,90,148,70,900.3,0.19462,910.36,0,Snowy,Winter
1/4/2022,941067,Thalapath Small,Seafood,North,33,33,115,2293.96,0.20742,2266.86,0,Rainy,Winter
1/4/2022,941067,Thalapath Small,Seafood,South,9,17,23,2293.96,0.16682,2358.61,0,Cloudy,Winter
1/4/2022,941067,Thalapath Small,Seafood,West,14,14,39,2293.96,0.35395,2453.29,0,Rainy,Winter
1/4/2022,941067,Thalapath Small,Seafood,East,14,22,50,2293.96,0.31969,2332.4,0,Rainy,Winter
1/5/2022,916002,Ambarella,Fruits,North,78,78,64,574.84,0.35144,646.36,1,Snowy,Winter
1/5/2022,916002,Ambarella,Fruits,South,88,96,51,574.84,0.21712,604.79,1,Snowy,Winter
1/5/2022,916002,Ambarella,Fruits,West,28,37,37,574.84,0.38429,654.53,1,Rainy,Winter
1/5/2022,916002,Ambarella,Fruits,East,101,101,142,574.84,0.22711,550.64,1,Sunny,Winter
1/5/2022,914000,Ash Plantains,Vegetables/Herbs,North,145,145,239,163.67,0.36602,175.52,1,Rainy,Winter
1/5/2022,914000,Ash Plantains,Vegetables/Herbs,South,102,102,265,163.67,0.21143,166.16,1,Sunny,Winter
1/5/2022,914000,Ash Plantains,Vegetables/Herbs,West,154,208,383,163.67,0.27208,184.14,1,Rainy,Winter
1/5/2022,914000,Ash Plantains,Vegetables/Herbs,East,221,221,512,163.67,0.38348,183.94,1,Rainy,Winter
1/5/2022,915001,Baby Potatoes,Vegetables/Herbs,North,147,147,317,706.69,0.35154,793.56,1,Rainy,Winter
1/5/2022,915001,Baby Potatoes,Vegetables/Herbs,South,59,63,127,706.69,0.29125,810.62,1,Rainy,Winter
1/5/2022,915001,Baby Potatoes,Vegetables/Herbs,West,82,82,128,706.69,0.28818,612.58,1,Cloudy,Winter
1/5/2022,915001,Baby Potatoes,Vegetables/Herbs,East,20,37,24,706.69,0.20285,784.73,1,Rainy,Winter
1/5/2022,912113,Basil Leaves 50g,Vegetables/Herbs,North,64,101,33,102.33,0.22482,104.29,1,Snowy,Winter
1/5/2022,912113,Basil Leaves 50g,Vegetables/Herbs,South,17,17,37,102.33,0.20804,89.31,1,Snowy,Winter
1/5/2022,912113,Basil Leaves 50g,Vegetables/Herbs,West,11,11,47,102.33,0.34951,108.87,1,Snowy,Winter
1/5/2022,912113,Basil Leaves 50g,Vegetables/Herbs,East,18,18,29,102.33,0.26118,110.35,1,Sunny,Winter
1/5/2022,914004,Batana,Vegetables/Herbs,North,61,97,109,370.93,0.15309,361.34,1,Rainy,Winter
1/5/2022,914004,Batana,Vegetables/Herbs,South,87,87,79,370.93,0.25867,362.15,1,Rainy,Winter
1/5/2022,914004,Batana,Vegetables/Herbs,West,49,49,48,370.93,0.15169,359.32,1,Rainy,Winter
1/5/2022,914004,Batana,Vegetables/Herbs,East,34,57,90,370.93,0.19441,359.61,1,Snowy,Winter
1/5/2022,915002,Beetroot,Vegetables/Herbs,North,122,122,118,276.96,0.32043,281.12,1,Rainy,Winter
1/5/2022,915002,Beetroot,Vegetables/Herbs,South,167,167,188,276.96,0.30833,255.53,1,Rainy,Winter
1/5/2022,915002,Beetroot,Vegetables/Herbs,West,169,259,162,276.96,0.17734,256.04,1,Cloudy,Winter
1/5/2022,915002,Beetroot,Vegetables/Herbs,East,313,313,313,276.96,0.21468,277.85,1,Rainy,Winter
1/5/2022,913005,Bell Pepper Green,Vegetables/Herbs,North,61,90,117,620.7,0.38014,543.58,1,Cloudy,Winter
1/5/2022,913005,Bell Pepper Green,Vegetables/Herbs,South,113,113,294,620.7,0.22973,583.51,1,Cloudy,Winter
1/5/2022,913005,Bell Pepper Green,Vegetables/Herbs,West,165,165,256,620.7,0.19003,631.84,1,Rainy,Winter
1/5/2022,913005,Bell Pepper Green,Vegetables/Herbs,East,182,342,435,620.7,0.25739,528.42,1,Rainy,Winter
1/5/2022,913006,Bell Pepper Red,Vegetables/Herbs,North,93,93,263,746.99,0.27237,851.4,1,Rainy,Winter
1/5/2022,913006,Bell Pepper Red,Vegetables/Herbs,South,130,221,394,746.99,0.29754,785.56,1,Rainy,Winter
1/5/2022,913006,Bell Pepper Red,Vegetables/Herbs,West,74,116,71,746.99,0.27167,755.37,1,Rainy,Winter
1/5/2022,913006,Bell Pepper Red,Vegetables/Herbs,East,99,99,173,746.99,0.18413,817.63,1,Rainy,Winter
1/5/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,North,42,54,67,925.05,0.2844,832.97,1,Snowy,Winter
1/5/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,South,112,116,201,925.05,0.20464,904.28,1,Snowy,Winter
1/5/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,West,96,116,222,925.05,0.23766,983.54,1,Cloudy,Winter
1/5/2022,913007,Bell Pepper Yellow,Vegetables/Herbs,East,66,105,98,925.05,0.39475,867.5,1,Rainy,Winter
1/5/2022,941067,Thalapath Small,Seafood,North,53,78,171,2299.99,0.21718,2240.81,1,Rainy,Winter
1/5/2022,941067,Thalapath Small,Seafood,South,48,65,93,2299.99,0.29549,2554.54,1,Rainy,Winter
1/5/2022,941067,Thalapath Small,Seafood,West,20,36,44,2299.99,0.23072,2150.67,1,Sunny,Winter
1/5/2022,941067,Thalapath Small,Seafood,East,33,38,10,2299.99,0.39796,2250.17,1,Cloudy,Winter
1/6/2022,916002,Ambarella,Fruits,North,109,109,290,572.84,0.31223,495.81,0,Cloudy,Winter
1/6/2022,916002,Ambarella,Fruits,South,80,80,87,572.84,0.27986,563.4,0,Cloudy,Winter
1/6/2022,916002,Ambarella,Fruits,West,84,84,56,572.84,0.33269,504.52,0,Sunny,Winter
1/6/2022,916002,Ambarella,Fruits,East,98,98,192,572.84,0.15212,598.62,0,Rainy,Winter
1/6/2022,914000,Ash Plantains,Vegetables/Herbs,North,153,153,264,159.42,0.34777,147.36,0,Cloudy,Winter
1/6/2022,914000,Ash Plantains,Vegetables/Herbs,South,101,186,205,159.42,0.20136,164.53,0,Cloudy,Winter
1/6/2022,914000,Ash Plantains,Vegetables/Herbs,West,36,36,40,159.42,0.2749,163.91,0,Cloudy,Winter
1/6/2022,914000,Ash Plantains,Vegetables/Herbs,East,59,59,11,159.42,0.21555,137.41,0,Sunny,Winter
1/6/2022,915001,Baby Potatoes,Vegetables/Herbs,North,49,79,31,681.54,0.22748,683.85,0,Snowy,Winter
1/6/2022,915001,Baby Potatoes,Vegetables/Herbs,South,48,51,121,681.54,0.33249,752.38,0,Cloudy,Winter
1/6/2022,915001,Baby Potatoes,Vegetables/Herbs,West,19,19,104,681.54,0.19391,581.9,0,Cloudy,Winter
1/6/2022,915001,Baby Potatoes,Vegetables/Herbs,East,25,29,44,681.54,0.33323,603.45,0,Cloudy,Winter
1/6/2022,912113,Basil Leaves 50g,Vegetables/Herbs,North,18,18,75,102.4,0.24003,102.39,0,Rainy,Winter
1/6/2022,912113,Basil Leaves 50g,Vegetables/Herbs,South,8,8,10,102.4,0.16101,113.55,0,Cloudy,Winter
1/6/2022,912113,Basil Leaves 50g,Vegetables/Herbs,West,49,76,117,102.4,0.20613,94.67,0,Cloudy,Winter
1/6/2022,912113,Basil Leaves 50g,Vegetables/Herbs,East,65,65,147,102.4,0.39535,116.35,0,Rainy,Winter
1/6/2022,914004,Batana,Vegetables/Herbs,North,83,83,192,370.17,0.21065,355.54,0,Snowy,Winter
1/6/2022,914004,Batana,Vegetables/Herbs,South,74,74,24,370.17,0.33973,356.43,0,Cloudy,Winter
1/6/2022,914004,Batana,Vegetables/Herbs,West,42,47,21,370.17,0.16098,340.35,0,Cloudy,Winter
1/6/2022,914004,Batana,Vegetables/Herbs,East,43,43,155,370.17,0.16557,388.21,0,Snowy,Winter
1/6/2022,915002,Beetroot,Vegetables/Herbs,North,265,265,354,273.8,0.2084,310.23,0,Rainy,Winter
1/6/2022,915002,Beetroot,Vegetables/Herbs,South,92,180,273,273.8,0.22708,254.5,0,Cloudy,Winter
1/6/2022,915002,Beetroot,Vegetables/Herbs,West,49,49,47,273.8,0.1728,253.12,0,Cloudy,Winter
1/6/2022,915002,Beetroot,Vegetables/Herbs,East,210,210,391,273.8,0.28899,277.92,0,Rainy,Winter
1/6/2022,913005,Bell Pepper Green,Vegetables/Herbs,North,36,36,76,604.92,0.37936,527.79,0,Cloudy,Winter
1/6/2022,913005,Bell Pepper Green,Vegetables/Herbs,South,97,97,157,604.92,0.35542,585.86,0,Cloudy,Winter
1/6/2022,913005,Bell Pepper Green,Vegetables/Herbs,West,128,128,86,604.92,0.30353,626.15,0,Sunny,Winter
1/6/2022,913005,Bell Pepper Green,Vegetables/Herbs,East,129,129,243,604.92,0.37116,609.6,0,Rainy,Winter
